"Status","Year","Ethnicity","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2023","Undeclared","Economics","10","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Finance","15","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Human Resources","15","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","International Trade","10","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Legal","20","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Operational Delivery","335","[c]","26760","24070"
"New entrant CS","2023","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Other","25","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Policy","35","[c]","38710","35410"
"New entrant CS","2023","Undeclared","Project Delivery","20","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Property","10","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Science and Engineering","30","[c]","37880","33830"
"New entrant CS","2023","Undeclared","Security","5","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Statistics","5","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Unknown","50","[c]","35810","33020"
"New entrant CS","2023","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Commercial","145","[c]","31530","28840"
"New entrant CS","2023","Unknown","Communications","140","[c]","37930","35760"
"New entrant CS","2023","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Counter Fraud","85","[c]","28660","27650"
"New entrant CS","2023","Unknown","Digital, Data and Technology","745","[c]","39900","36180"
"New entrant CS","2023","Unknown","Economics","70","[c]","35220","34740"
"New entrant CS","2023","Unknown","Finance","205","[c]","31820","27890"
"New entrant CS","2023","Unknown","Geography","25","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Human Resources","345","[c]","31560","28000"
"New entrant CS","2023","Unknown","Inspector of Education and Training","30","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Intelligence Analysis","70","[c]","29900","27080"
"New entrant CS","2023","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","International Trade","120","[c]","41930","41550"
"New entrant CS","2023","Unknown","Knowledge and Information Management","25","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Legal","100","[c]","43040","38940"
"New entrant CS","2023","Unknown","Medicine","170","[c]","53480","40590"
"New entrant CS","2023","Unknown","Operational Delivery","13525","[c]","25560","23640"
"New entrant CS","2023","Unknown","Operational Research","105","[c]","25480","22520"
"New entrant CS","2023","Unknown","Other","650","[c]","25980","22400"
"New entrant CS","2023","Unknown","Planning","5","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Planning Inspectors","15","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Policy","555","[c]","38160","33950"
"New entrant CS","2023","Unknown","Project Delivery","360","[c]","36570","35620"
"New entrant CS","2023","Unknown","Property","215","[c]","31120","27080"
"New entrant CS","2023","Unknown","Psychology","40","[c]","32780","30940"
"New entrant CS","2023","Unknown","Science and Engineering","405","[c]","30420","27540"
"New entrant CS","2023","Unknown","Security","425","[c]","30440","27500"
"New entrant CS","2023","Unknown","Social Research","35","[c]","35470","36020"
"New entrant CS","2023","Unknown","Statistics","85","[c]","28080","26560"
"New entrant CS","2023","Unknown","Tax","55","[c]","35500","34400"
"New entrant CS","2023","Unknown","Unknown","2615","[c]","31930","29100"
"New entrant CS","2023","Unknown","Veterinarian","5","[c]","[c]","[c]"
"New entrant CS","2023","White","Commercial","415","[c]","39960","33350"
"New entrant CS","2023","White","Communications","335","[c]","38290","36330"
"New entrant CS","2023","White","Corporate Finance","10","[c]","[c]","[c]"
"New entrant CS","2023","White","Counter Fraud","345","[c]","27580","26620"
"New entrant CS","2023","White","Digital, Data and Technology","1460","[c]","40690","37590"
"New entrant CS","2023","White","Economics","215","[c]","33290","31560"
"New entrant CS","2023","White","Finance","405","[c]","34900","30320"
"New entrant CS","2023","White","Geography","25","[c]","[c]","[c]"
"New entrant CS","2023","White","Human Resources","715","[c]","33300","30000"
"New entrant CS","2023","White","Inspector of Education and Training","250","[c]","60770","52750"
"New entrant CS","2023","White","Intelligence Analysis","80","[c]","29970","28480"
"New entrant CS","2023","White","Internal Audit","25","[c]","[c]","[c]"
"New entrant CS","2023","White","International Trade","315","[c]","41100","39830"
"New entrant CS","2023","White","Knowledge and Information Management","140","[c]","30900","28120"
"New entrant CS","2023","White","Legal","515","[c]","44990","48990"
"New entrant CS","2023","White","Medicine","140","[c]","51930","40590"
"New entrant CS","2023","White","Operational Delivery","14855","[c]","26080","23640"
"New entrant CS","2023","White","Operational Research","85","[c]","34440","33310"
"New entrant CS","2023","White","Other","800","[c]","28410","22260"
"New entrant CS","2023","White","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2023","White","Planning Inspectors","65","[c]","47840","43740"
"New entrant CS","2023","White","Policy","1165","[c]","38000","34410"
"New entrant CS","2023","White","Project Delivery","830","[c]","38410","34110"
"New entrant CS","2023","White","Property","380","[c]","34800","33830"
"New entrant CS","2023","White","Psychology","105","[c]","29590","28480"
"New entrant CS","2023","White","Science and Engineering","945","[c]","34390","30930"
"New entrant CS","2023","White","Security","355","[c]","30370","27500"
"New entrant CS","2023","White","Social Research","150","[c]","35610","33950"
"New entrant CS","2023","White","Statistics","225","[c]","32850","31200"
"New entrant CS","2023","White","Tax","135","[c]","35040","34400"
"New entrant CS","2023","White","Unknown","1970","[c]","33060","29100"
"New entrant CS","2023","White","Veterinarian","30","[c]","35820","37300"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Four organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Profession_of_post","Professions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any professions information for their employees.","","","","","",""
"Ethnicity","Self reported ethnicity. ""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their ethnicity and ""Unknown"" accounts for employees who have not made an active declaration about their ethnicity.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
