"Status","Year","Age","Disability","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","30-39","Declared non-disabled","Department of Health and Social Care","EO","40","[c]","25940","26880"
"Leaver CS","2023","30-39","Declared non-disabled","Department of Health and Social Care","G6/G7","60","[c]","55410","53620"
"Leaver CS","2023","30-39","Declared non-disabled","Department of Health and Social Care","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Department of Health and Social Care","SEO/HEO","165","[c]","36550","37000"
"Leaver CS","2023","30-39","Declared non-disabled","Estyn","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Estyn","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Food Standards Agency","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Foreign, Commonwealth and Development Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Foreign, Commonwealth and Development Office","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Foreign, Commonwealth and Development Office","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","HM Land Registry","AA/AO","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","HM Land Registry","EO","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","HM Land Registry","SEO/HEO","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","HM Revenue and Customs","AA/AO","170","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","HM Revenue and Customs","EO","70","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","HM Revenue and Customs","G6/G7","40","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","HM Revenue and Customs","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","HM Revenue and Customs","SEO/HEO","90","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","HM Treasury","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","HM Treasury","G6/G7","35","[c]","57720","54440"
"Leaver CS","2023","30-39","Declared non-disabled","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","HM Treasury","SEO/HEO","20","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Home Office","AA/AO","45","[c]","22970","22400"
"Leaver CS","2023","30-39","Declared non-disabled","Home Office","EO","85","[c]","27260","26750"
"Leaver CS","2023","30-39","Declared non-disabled","Home Office","G6/G7","30","[c]","61580","59290"
"Leaver CS","2023","30-39","Declared non-disabled","Home Office","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Home Office","SEO/HEO","75","[c]","38780","39000"
"Leaver CS","2023","30-39","Declared non-disabled","Home Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Ministry of Defence","AA/AO","125","[c]","24330","22220"
"Leaver CS","2023","30-39","Declared non-disabled","Ministry of Defence","EO","70","[c]","29040","27470"
"Leaver CS","2023","30-39","Declared non-disabled","Ministry of Defence","G6/G7","45","[c]","58890","57540"
"Leaver CS","2023","30-39","Declared non-disabled","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Ministry of Defence","SEO/HEO","220","[c]","39300","40270"
"Leaver CS","2023","30-39","Declared non-disabled","Ministry of Defence","Unknown","35","[c]","39690","41050"
"Leaver CS","2023","30-39","Declared non-disabled","Ministry of Justice","AA/AO","835","[c]","22100","21780"
"Leaver CS","2023","30-39","Declared non-disabled","Ministry of Justice","EO","110","[c]","26910","25830"
"Leaver CS","2023","30-39","Declared non-disabled","Ministry of Justice","G6/G7","40","[c]","59680","57080"
"Leaver CS","2023","30-39","Declared non-disabled","Ministry of Justice","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Ministry of Justice","SEO/HEO","135","[c]","38970","38870"
"Leaver CS","2023","30-39","Declared non-disabled","Ministry of Justice","Unknown","210","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","National Crime Agency","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","National Crime Agency","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","EO","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","SEO/HEO","20","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Office of Gas and Electricity Markets","EO","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Office of Gas and Electricity Markets","G6/G7","30","[c]","58200","61200"
"Leaver CS","2023","30-39","Declared non-disabled","Office of Gas and Electricity Markets","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Office of Gas and Electricity Markets","SEO/HEO","35","[c]","36600","37210"
"Leaver CS","2023","30-39","Declared non-disabled","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Office of the Secretary of State for Scotland","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Scottish Government","AA/AO","35","[c]","25220","24690"
"Leaver CS","2023","30-39","Declared non-disabled","Scottish Government","EO","30","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Scottish Government","G6/G7","15","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Scottish Government","SEO/HEO","50","[c]","40600","39520"
"Leaver CS","2023","30-39","Declared non-disabled","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","The National Archives","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","The National Archives","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","The National Archives","SEO/HEO","15","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","UK Export Finance","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","UK Export Finance","SEO/HEO","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","UK Statistics Authority","AA/AO","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","UK Statistics Authority","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","UK Statistics Authority","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","UK Statistics Authority","SEO/HEO","15","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","UK Supreme Court","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Water Services Regulation Authority","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Water Services Regulation Authority","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Welsh Government","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Welsh Government","EO","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Welsh Government","SEO/HEO","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Cabinet Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Cabinet Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Department for Business, Energy and Industrial Strategy","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Department for Business, Energy and Industrial Strategy","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Department for Education","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Department for Education","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Department for Environment, Food and Rural Affairs","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Department for Environment, Food and Rural Affairs","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Department for Levelling Up, Housing and Communities","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Department for Transport","AA/AO","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Department for Transport","EO","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Department for Transport","SEO/HEO","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Department for Work and Pensions","AA/AO","20","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Department for Work and Pensions","EO","45","[c]","28760","28120"
"Leaver CS","2023","30-39","Undeclared","Department for Work and Pensions","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Department for Work and Pensions","SEO/HEO","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Department of Health and Social Care","EO","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Department of Health and Social Care","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Department of Health and Social Care","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Department of Health and Social Care","SEO/HEO","20","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","HM Revenue and Customs","AA/AO","15","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","HM Revenue and Customs","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","HM Revenue and Customs","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","HM Treasury","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","HM Treasury","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Home Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Home Office","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Home Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Home Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Ministry of Defence","AA/AO","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Ministry of Defence","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Ministry of Defence","SEO/HEO","20","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Ministry of Justice","AA/AO","65","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Ministry of Justice","EO","20","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Ministry of Justice","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Ministry of Justice","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Ministry of Justice","SEO/HEO","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Ministry of Justice","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Office of Gas and Electricity Markets","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Office of Rail and Road","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Office of Rail and Road","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Scottish Government","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","UK Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","UK Statistics Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Welsh Government","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Attorney General's Departments","AA/AO","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Attorney General's Departments","G6/G7","25","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Attorney General's Departments","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Attorney General's Departments","SEO/HEO","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Cabinet Office","AA/AO","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Cabinet Office","EO","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Cabinet Office","G6/G7","55","[c]","64620","65000"
"Leaver CS","2023","30-39","Unknown","Cabinet Office","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Cabinet Office","SEO/HEO","35","[c]","36210","35650"
"Leaver CS","2023","30-39","Unknown","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Charity Commission","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Department for Business, Energy and Industrial Strategy","AA/AO","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Department for Business, Energy and Industrial Strategy","EO","15","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Department for Business, Energy and Industrial Strategy","G6/G7","20","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Department for Business, Energy and Industrial Strategy","SEO/HEO","25","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Department for Digital, Culture, Media and Sport","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Department for Digital, Culture, Media and Sport","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Department for Education","EO","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Department for Education","G6/G7","20","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Department for Education","SEO/HEO","40","[c]","37750","37590"
"Leaver CS","2023","30-39","Unknown","Department for Environment, Food and Rural Affairs","AA/AO","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Department for Environment, Food and Rural Affairs","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Department for Environment, Food and Rural Affairs","SEO/HEO","15","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Department for International Trade","G6/G7","20","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Department for International Trade","SEO/HEO","15","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Department for Levelling Up, Housing and Communities","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Department for Levelling Up, Housing and Communities","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Department for Levelling Up, Housing and Communities","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Department for Transport","AA/AO","40","[c]","22700","22500"
"Leaver CS","2023","30-39","Unknown","Department for Transport","EO","20","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Department for Transport","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Department for Transport","SEO/HEO","15","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Department for Work and Pensions","AA/AO","75","[c]","21770","21690"
"Leaver CS","2023","30-39","Unknown","Department for Work and Pensions","EO","85","[c]","29250","28120"
"Leaver CS","2023","30-39","Unknown","Department for Work and Pensions","G6/G7","20","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Department for Work and Pensions","SEO/HEO","20","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Department of Health and Social Care","AA/AO","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Department of Health and Social Care","EO","30","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Department of Health and Social Care","G6/G7","100","[c]","57630","54990"
"Leaver CS","2023","30-39","Unknown","Department of Health and Social Care","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Department of Health and Social Care","SEO/HEO","130","[c]","36630","37060"
"Leaver CS","2023","30-39","Unknown","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Foreign, Commonwealth and Development Office","EO","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Foreign, Commonwealth and Development Office","G6/G7","35","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Foreign, Commonwealth and Development Office","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Foreign, Commonwealth and Development Office","SEO/HEO","25","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","HM Land Registry","AA/AO","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","HM Land Registry","EO","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","HM Land Registry","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","HM Land Registry","SEO/HEO","20","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","HM Revenue and Customs","AA/AO","160","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","HM Revenue and Customs","EO","55","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","HM Revenue and Customs","G6/G7","20","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","HM Revenue and Customs","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","HM Revenue and Customs","SEO/HEO","45","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","HM Treasury","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Home Office","AA/AO","65","[c]","22850","22400"
"Leaver CS","2023","30-39","Unknown","Home Office","EO","80","[c]","27050","25910"
"Leaver CS","2023","30-39","Unknown","Home Office","G6/G7","25","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Home Office","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Home Office","SEO/HEO","35","[c]","39400","39190"
"Leaver CS","2023","30-39","Unknown","Home Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Ministry of Defence","AA/AO","85","[c]","25320","23540"
"Leaver CS","2023","30-39","Unknown","Ministry of Defence","EO","30","[c]","28220","27470"
"Leaver CS","2023","30-39","Unknown","Ministry of Defence","G6/G7","45","[c]","55760","49260"
"Leaver CS","2023","30-39","Unknown","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Ministry of Defence","SEO/HEO","100","[c]","38760","39890"
"Leaver CS","2023","30-39","Unknown","Ministry of Defence","Unknown","60","[c]","39300","38090"
"Leaver CS","2023","30-39","Unknown","Ministry of Justice","AA/AO","395","[c]","22260","21780"
"Leaver CS","2023","30-39","Unknown","Ministry of Justice","EO","25","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Ministry of Justice","G6/G7","20","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Ministry of Justice","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Ministry of Justice","SEO/HEO","35","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Ministry of Justice","Unknown","110","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","National Crime Agency","AA/AO","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","National Crime Agency","EO","25","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","National Crime Agency","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","National Crime Agency","SEO/HEO","25","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Office for Standards in Education, Children's Services and Skills","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
